Starting optimized exp2_v1_aug training at Tue Oct  7 04:33:26 AM +07 2025
Job ID: 30519
GPU: 0
Python 3.10.12
PyTorch: 2.5.1+cu121, CUDA: False
Transformers: 4.57.0
=== Running EXP2 V1 AUG with optimized settings ===
{'loss': 18.0116, 'grad_norm': 80.2841567993164, 'learning_rate': 3.8e-07, 'epoch': 0.03}
{'loss': 16.9826, 'grad_norm': 85.46771240234375, 'learning_rate': 7.8e-07, 'epoch': 0.06}
{'loss': 14.754, 'grad_norm': 75.63614654541016, 'learning_rate': 1.1800000000000001e-06, 'epoch': 0.09}
{'loss': 11.7529, 'grad_norm': 38.698822021484375, 'learning_rate': 1.5800000000000001e-06, 'epoch': 0.11}
{'loss': 9.4862, 'grad_norm': 19.48248863220215, 'learning_rate': 1.98e-06, 'epoch': 0.14}
{'loss': 8.4213, 'grad_norm': 14.435029983520508, 'learning_rate': 2.38e-06, 'epoch': 0.17}
{'loss': 7.6504, 'grad_norm': 13.042699813842773, 'learning_rate': 2.7800000000000005e-06, 'epoch': 0.2}
{'loss': 7.3064, 'grad_norm': 11.484482765197754, 'learning_rate': 3.1800000000000005e-06, 'epoch': 0.23}
{'loss': 6.9463, 'grad_norm': 10.79809856414795, 'learning_rate': 3.58e-06, 'epoch': 0.26}
{'loss': 6.6692, 'grad_norm': 10.676215171813965, 'learning_rate': 3.980000000000001e-06, 'epoch': 0.29}
{'loss': 6.3473, 'grad_norm': 12.247261047363281, 'learning_rate': 4.38e-06, 'epoch': 0.31}
{'loss': 6.2194, 'grad_norm': 14.503543853759766, 'learning_rate': 4.78e-06, 'epoch': 0.34}
{'loss': 5.8637, 'grad_norm': 10.78647232055664, 'learning_rate': 5.18e-06, 'epoch': 0.37}
{'loss': 5.6722, 'grad_norm': 11.024077415466309, 'learning_rate': 5.580000000000001e-06, 'epoch': 0.4}
{'loss': 5.6516, 'grad_norm': 12.777423858642578, 'learning_rate': 5.98e-06, 'epoch': 0.43}
{'loss': 5.5833, 'grad_norm': 9.785985946655273, 'learning_rate': 6.380000000000001e-06, 'epoch': 0.46}
{'loss': 5.4305, 'grad_norm': 10.198785781860352, 'learning_rate': 6.780000000000001e-06, 'epoch': 0.49}
{'loss': 5.448, 'grad_norm': 10.50484561920166, 'learning_rate': 7.180000000000001e-06, 'epoch': 0.52}
{'loss': 5.4217, 'grad_norm': 8.641897201538086, 'learning_rate': 7.58e-06, 'epoch': 0.54}
{'loss': 5.3692, 'grad_norm': 9.595756530761719, 'learning_rate': 7.980000000000002e-06, 'epoch': 0.57}
{'loss': 5.4115, 'grad_norm': 9.156871795654297, 'learning_rate': 8.380000000000001e-06, 'epoch': 0.6}
{'loss': 5.2046, 'grad_norm': 10.276308059692383, 'learning_rate': 8.78e-06, 'epoch': 0.63}
{'loss': 5.3092, 'grad_norm': 8.84533405303955, 'learning_rate': 9.180000000000002e-06, 'epoch': 0.66}
{'loss': 5.3106, 'grad_norm': 10.315799713134766, 'learning_rate': 9.58e-06, 'epoch': 0.69}
{'loss': 5.1347, 'grad_norm': 10.26248836517334, 'learning_rate': 9.980000000000001e-06, 'epoch': 0.72}
{'loss': 5.1797, 'grad_norm': 10.347244262695312, 'learning_rate': 9.936560934891487e-06, 'epoch': 0.74}
{'loss': 5.0987, 'grad_norm': 10.470002174377441, 'learning_rate': 9.869782971619367e-06, 'epoch': 0.77}
{'loss': 5.048, 'grad_norm': 10.137736320495605, 'learning_rate': 9.803005008347247e-06, 'epoch': 0.8}
{'loss': 4.969, 'grad_norm': 12.798178672790527, 'learning_rate': 9.736227045075127e-06, 'epoch': 0.83}
{'loss': 4.9654, 'grad_norm': 12.00832748413086, 'learning_rate': 9.669449081803006e-06, 'epoch': 0.86}
{'loss': 4.9533, 'grad_norm': 11.095711708068848, 'learning_rate': 9.602671118530885e-06, 'epoch': 0.89}
{'loss': 4.8709, 'grad_norm': 11.102089881896973, 'learning_rate': 9.535893155258765e-06, 'epoch': 0.92}
{'loss': 4.8166, 'grad_norm': 10.880901336669922, 'learning_rate': 9.469115191986645e-06, 'epoch': 0.94}
{'loss': 4.6878, 'grad_norm': 10.737431526184082, 'learning_rate': 9.402337228714526e-06, 'epoch': 0.97}
{'loss': 4.6925, 'grad_norm': 12.188621520996094, 'learning_rate': 9.335559265442404e-06, 'epoch': 1.0}
{'loss': 4.6008, 'grad_norm': 9.343951225280762, 'learning_rate': 9.268781302170284e-06, 'epoch': 1.03}
{'loss': 4.5506, 'grad_norm': 10.348838806152344, 'learning_rate': 9.202003338898164e-06, 'epoch': 1.06}
{'loss': 4.5444, 'grad_norm': 10.212907791137695, 'learning_rate': 9.135225375626044e-06, 'epoch': 1.09}
{'loss': 4.5486, 'grad_norm': 12.125176429748535, 'learning_rate': 9.068447412353924e-06, 'epoch': 1.12}
{'loss': 4.5092, 'grad_norm': 10.266539573669434, 'learning_rate': 9.001669449081804e-06, 'epoch': 1.14}
{'loss': 4.3912, 'grad_norm': 10.701324462890625, 'learning_rate': 8.934891485809684e-06, 'epoch': 1.17}
{'loss': 4.3459, 'grad_norm': 11.120625495910645, 'learning_rate': 8.868113522537564e-06, 'epoch': 1.2}
{'loss': 4.2488, 'grad_norm': 11.57442569732666, 'learning_rate': 8.801335559265442e-06, 'epoch': 1.23}
{'loss': 4.1727, 'grad_norm': 12.790313720703125, 'learning_rate': 8.734557595993322e-06, 'epoch': 1.26}
{'loss': 4.1469, 'grad_norm': 10.530938148498535, 'learning_rate': 8.667779632721202e-06, 'epoch': 1.29}
{'loss': 4.02, 'grad_norm': 11.488988876342773, 'learning_rate': 8.601001669449082e-06, 'epoch': 1.32}
{'loss': 4.018, 'grad_norm': 11.25484848022461, 'learning_rate': 8.534223706176964e-06, 'epoch': 1.34}
{'loss': 3.8827, 'grad_norm': 10.915090560913086, 'learning_rate': 8.467445742904842e-06, 'epoch': 1.37}
{'loss': 3.9072, 'grad_norm': 10.9178466796875, 'learning_rate': 8.400667779632722e-06, 'epoch': 1.4}
{'loss': 3.8549, 'grad_norm': 11.192181587219238, 'learning_rate': 8.333889816360602e-06, 'epoch': 1.43}
{'loss': 3.8111, 'grad_norm': 10.212769508361816, 'learning_rate': 8.267111853088482e-06, 'epoch': 1.46}
{'loss': 3.7442, 'grad_norm': 10.898568153381348, 'learning_rate': 8.200333889816362e-06, 'epoch': 1.49}
{'loss': 3.7942, 'grad_norm': 9.77342700958252, 'learning_rate': 8.133555926544241e-06, 'epoch': 1.52}
{'loss': 3.6986, 'grad_norm': 11.46313762664795, 'learning_rate': 8.066777963272121e-06, 'epoch': 1.55}
{'loss': 3.613, 'grad_norm': 11.432862281799316, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.57}
{'loss': 3.5155, 'grad_norm': 11.326629638671875, 'learning_rate': 7.93322203672788e-06, 'epoch': 1.6}
{'loss': 3.518, 'grad_norm': 10.627902030944824, 'learning_rate': 7.86644407345576e-06, 'epoch': 1.63}
{'loss': 3.4689, 'grad_norm': 10.79529094696045, 'learning_rate': 7.79966611018364e-06, 'epoch': 1.66}
{'loss': 3.3958, 'grad_norm': 12.319989204406738, 'learning_rate': 7.732888146911521e-06, 'epoch': 1.69}
{'loss': 3.3847, 'grad_norm': 10.228775024414062, 'learning_rate': 7.6661101836394e-06, 'epoch': 1.72}
{'loss': 3.3086, 'grad_norm': 12.500385284423828, 'learning_rate': 7.599332220367279e-06, 'epoch': 1.75}
{'loss': 3.2854, 'grad_norm': 10.27522087097168, 'learning_rate': 7.532554257095159e-06, 'epoch': 1.77}
{'loss': 3.2279, 'grad_norm': 10.760150909423828, 'learning_rate': 7.465776293823039e-06, 'epoch': 1.8}
{'loss': 3.142, 'grad_norm': 9.59384536743164, 'learning_rate': 7.398998330550918e-06, 'epoch': 1.83}
{'loss': 3.1844, 'grad_norm': 10.547972679138184, 'learning_rate': 7.332220367278798e-06, 'epoch': 1.86}
{'loss': 3.0964, 'grad_norm': 10.903156280517578, 'learning_rate': 7.265442404006678e-06, 'epoch': 1.89}
{'loss': 3.122, 'grad_norm': 9.9201078414917, 'learning_rate': 7.198664440734559e-06, 'epoch': 1.92}
{'loss': 3.1358, 'grad_norm': 10.991260528564453, 'learning_rate': 7.131886477462437e-06, 'epoch': 1.95}
{'loss': 3.0551, 'grad_norm': 11.058338165283203, 'learning_rate': 7.065108514190318e-06, 'epoch': 1.97}
{'loss': 3.056, 'grad_norm': 11.391130447387695, 'learning_rate': 6.998330550918198e-06, 'epoch': 2.0}
{'loss': 3.0392, 'grad_norm': 9.74860954284668, 'learning_rate': 6.931552587646078e-06, 'epoch': 2.03}
{'loss': 3.0428, 'grad_norm': 9.246114730834961, 'learning_rate': 6.864774624373958e-06, 'epoch': 2.06}
{'loss': 3.024, 'grad_norm': 9.999346733093262, 'learning_rate': 6.797996661101837e-06, 'epoch': 2.09}
{'loss': 2.9633, 'grad_norm': 9.047874450683594, 'learning_rate': 6.731218697829717e-06, 'epoch': 2.12}
{'loss': 2.9166, 'grad_norm': 9.243476867675781, 'learning_rate': 6.6644407345575965e-06, 'epoch': 2.15}
{'loss': 2.9307, 'grad_norm': 9.822101593017578, 'learning_rate': 6.5976627712854765e-06, 'epoch': 2.17}
{'loss': 2.9242, 'grad_norm': 8.812601089477539, 'learning_rate': 6.5308848080133556e-06, 'epoch': 2.2}
{'loss': 2.9511, 'grad_norm': 9.438220024108887, 'learning_rate': 6.4641068447412355e-06, 'epoch': 2.23}
{'loss': 2.8854, 'grad_norm': 8.64186954498291, 'learning_rate': 6.397328881469116e-06, 'epoch': 2.26}
{'loss': 2.8244, 'grad_norm': 8.076079368591309, 'learning_rate': 6.330550918196996e-06, 'epoch': 2.29}
{'loss': 2.8871, 'grad_norm': 9.524871826171875, 'learning_rate': 6.263772954924875e-06, 'epoch': 2.32}
{'loss': 2.8715, 'grad_norm': 8.410475730895996, 'learning_rate': 6.196994991652755e-06, 'epoch': 2.35}
{'loss': 2.8787, 'grad_norm': 8.28772258758545, 'learning_rate': 6.130217028380635e-06, 'epoch': 2.37}
{'loss': 2.8187, 'grad_norm': 9.180376052856445, 'learning_rate': 6.063439065108515e-06, 'epoch': 2.4}
{'loss': 2.77, 'grad_norm': 8.860464096069336, 'learning_rate': 5.996661101836394e-06, 'epoch': 2.43}
{'loss': 2.7351, 'grad_norm': 7.511892318725586, 'learning_rate': 5.929883138564274e-06, 'epoch': 2.46}
{'loss': 2.7826, 'grad_norm': 9.062067031860352, 'learning_rate': 5.863105175292154e-06, 'epoch': 2.49}
{'loss': 2.7086, 'grad_norm': 8.133414268493652, 'learning_rate': 5.796327212020034e-06, 'epoch': 2.52}
{'loss': 2.8082, 'grad_norm': 9.263986587524414, 'learning_rate': 5.729549248747913e-06, 'epoch': 2.55}
{'loss': 2.7841, 'grad_norm': 7.900076389312744, 'learning_rate': 5.662771285475793e-06, 'epoch': 2.58}
{'loss': 2.7926, 'grad_norm': 8.060270309448242, 'learning_rate': 5.595993322203674e-06, 'epoch': 2.6}
{'loss': 2.7754, 'grad_norm': 6.491311073303223, 'learning_rate': 5.529215358931554e-06, 'epoch': 2.63}
{'loss': 2.7965, 'grad_norm': 8.551636695861816, 'learning_rate': 5.462437395659433e-06, 'epoch': 2.66}
{'loss': 2.7309, 'grad_norm': 7.592424392700195, 'learning_rate': 5.395659432387313e-06, 'epoch': 2.69}
{'loss': 2.7929, 'grad_norm': 9.14171314239502, 'learning_rate': 5.328881469115193e-06, 'epoch': 2.72}
{'loss': 2.7205, 'grad_norm': 8.044240951538086, 'learning_rate': 5.2621035058430725e-06, 'epoch': 2.75}
{'loss': 2.7476, 'grad_norm': 8.815784454345703, 'learning_rate': 5.1953255425709525e-06, 'epoch': 2.78}
{'loss': 2.719, 'grad_norm': 9.533714294433594, 'learning_rate': 5.1285475792988315e-06, 'epoch': 2.8}
{'loss': 2.654, 'grad_norm': 7.172364711761475, 'learning_rate': 5.0617696160267115e-06, 'epoch': 2.83}
{'loss': 2.6883, 'grad_norm': 6.4605302810668945, 'learning_rate': 4.994991652754591e-06, 'epoch': 2.86}
