Starting optimized exp3_kkatiz_clean training at Tue Oct  7 06:14:58 AM +07 2025
Job ID: 30524
GPU: 0
Python 3.10.12
PyTorch: 2.5.1+cu121, CUDA: True
Transformers: 4.57.0
=== Running EXP3 KKATIZ CLEAN with optimized settings ===
{'loss': 15.8866, 'grad_norm': 89.29186248779297, 'learning_rate': 3.4000000000000003e-07, 'epoch': 0.03}
{'loss': 14.2332, 'grad_norm': 84.2454605102539, 'learning_rate': 7.2e-07, 'epoch': 0.06}
{'loss': 10.4828, 'grad_norm': 48.31617736816406, 'learning_rate': 1.12e-06, 'epoch': 0.09}
{'loss': 7.7323, 'grad_norm': 17.54091453552246, 'learning_rate': 1.52e-06, 'epoch': 0.11}
{'loss': 6.5551, 'grad_norm': 13.777186393737793, 'learning_rate': 1.9200000000000003e-06, 'epoch': 0.14}
{'loss': 5.9158, 'grad_norm': 11.082810401916504, 'learning_rate': 2.3200000000000002e-06, 'epoch': 0.17}
{'loss': 5.5179, 'grad_norm': 16.21731185913086, 'learning_rate': 2.7200000000000002e-06, 'epoch': 0.2}
{'loss': 5.314, 'grad_norm': 10.758925437927246, 'learning_rate': 3.12e-06, 'epoch': 0.23}
{'loss': 5.1204, 'grad_norm': 13.179936408996582, 'learning_rate': 3.52e-06, 'epoch': 0.26}
{'loss': 5.0178, 'grad_norm': 10.275383949279785, 'learning_rate': 3.920000000000001e-06, 'epoch': 0.29}
{'loss': 4.8226, 'grad_norm': 20.517894744873047, 'learning_rate': 4.32e-06, 'epoch': 0.31}
{'loss': 4.9087, 'grad_norm': 15.663235664367676, 'learning_rate': 4.7200000000000005e-06, 'epoch': 0.34}
{'loss': 4.7776, 'grad_norm': 7.501327991485596, 'learning_rate': 5.12e-06, 'epoch': 0.37}
{'loss': 4.6814, 'grad_norm': 10.178693771362305, 'learning_rate': 5.5200000000000005e-06, 'epoch': 0.4}
{'loss': 4.7051, 'grad_norm': 7.796961784362793, 'learning_rate': 5.92e-06, 'epoch': 0.43}
{'loss': 4.6723, 'grad_norm': 9.037103652954102, 'learning_rate': 6.3200000000000005e-06, 'epoch': 0.46}
{'loss': 4.5289, 'grad_norm': 6.750559329986572, 'learning_rate': 6.720000000000001e-06, 'epoch': 0.49}
{'loss': 4.5966, 'grad_norm': 7.29112434387207, 'learning_rate': 7.1200000000000004e-06, 'epoch': 0.52}
{'loss': 4.5535, 'grad_norm': 6.5025506019592285, 'learning_rate': 7.520000000000001e-06, 'epoch': 0.54}
