Starting optimized exp4_kkatiz_aug training at Tue Oct  7 05:04:50 AM +07 2025
Job ID: 30522
GPU: 0
Python 3.10.12
PyTorch: 2.5.1+cu121, CUDA: True
Transformers: 4.57.0
=== Running EXP4 KKATIZ AUG with optimized settings ===
{'loss': 15.571, 'grad_norm': 81.41126251220703, 'learning_rate': 3.4000000000000003e-07, 'epoch': 0.03}
{'loss': 14.0286, 'grad_norm': 85.39037322998047, 'learning_rate': 7.2e-07, 'epoch': 0.06}
{'loss': 10.6658, 'grad_norm': 46.78270721435547, 'learning_rate': 1.12e-06, 'epoch': 0.09}
{'loss': 7.8976, 'grad_norm': 18.651111602783203, 'learning_rate': 1.52e-06, 'epoch': 0.11}
{'loss': 6.6748, 'grad_norm': 12.711471557617188, 'learning_rate': 1.9200000000000003e-06, 'epoch': 0.14}
{'loss': 6.0701, 'grad_norm': 14.220576286315918, 'learning_rate': 2.3200000000000002e-06, 'epoch': 0.17}
{'loss': 5.6886, 'grad_norm': 12.103025436401367, 'learning_rate': 2.7200000000000002e-06, 'epoch': 0.2}
{'loss': 5.4988, 'grad_norm': 10.045599937438965, 'learning_rate': 3.12e-06, 'epoch': 0.23}
{'loss': 5.2433, 'grad_norm': 13.144852638244629, 'learning_rate': 3.52e-06, 'epoch': 0.26}
{'loss': 5.0963, 'grad_norm': 8.570542335510254, 'learning_rate': 3.920000000000001e-06, 'epoch': 0.29}
{'loss': 4.8736, 'grad_norm': 10.5664644241333, 'learning_rate': 4.32e-06, 'epoch': 0.31}
{'loss': 4.9405, 'grad_norm': 12.363269805908203, 'learning_rate': 4.7200000000000005e-06, 'epoch': 0.34}
{'loss': 4.8103, 'grad_norm': 6.800383567810059, 'learning_rate': 5.12e-06, 'epoch': 0.37}
{'loss': 4.7063, 'grad_norm': 11.24659252166748, 'learning_rate': 5.5200000000000005e-06, 'epoch': 0.4}
{'loss': 4.7114, 'grad_norm': 7.51306676864624, 'learning_rate': 5.92e-06, 'epoch': 0.43}
