province_description,count
กรุงเทพมหานคร,8791
กระบี่,1
กาญจนบุรี,3
กาฬสินธุ์,9
กำแพงเพชร,17
ขอนแก่น,28
จันทบุรี,10
ฉะเชิงเทรา,27
ชลบุรี,224
ชัยนาท,12
ชัยภูมิ,11
ชุมพร,4
เชียงราย,13
เชียงใหม่,37
ตรัง,4
ตราด,2
ตาก,6
นครนายก,19
นครปฐม,13
นครพนม,2
นครราชสีมา,69
นครศรีธรรมราช,3
นครสวรรค์,45
นนทบุรี,27
นราธิวาส,0
น่าน,4
บึงกาฬ,1
บุรีรัมย์,7
ปทุมธานี,76
ประจวบคีรีขันธ์,3
ปราจีนบุรี,8
ปัตตานี,0
พระนครศรีอยุธยา,219
พังงา,2
พัทลุง,1
พิจิตร,16
พิษณุโลก,24
เพชรบุรี,5
เพชรบูรณ์,13
แพร่,5
ภูเก็ต,6
มหาสารคาม,8
มุกดาหาร,6
แม่ฮ่องสอน,2
ยโสธร,5
ยะลา,0
ร้อยเอ็ด,10
ระนอง,0
ระยอง,56
ราชบุรี,14
ลพบุรี,40
ลำปาง,13
ลำพูน,0
เลย,5
ศรีสะเกษ,8
สกลนคร,6
สงขลา,7
สตูล,1
สมุทรปราการ,43
สมุทรสงคราม,1
สมุทรสาคร,2
สระแก้ว,6
สระบุรี,52
สิงห์บุรี,15
สุโขทัย,10
สุพรรณบุรี,28
สุราษฎร์ธานี,5
สุรินทร์,7
หนองคาย,6
หนองบัวลำภู,1
อ่างทอง,12
อำนาจเจริญ,3
อุดรธานี,17
อุตรดิตถ์,3
อุทัยธานี,11
อุบลราชธานี,30
เบตง,0
