province_description,count
กรุงเทพมหานคร,268
กระบี่,0
กาญจนบุรี,1
กาฬสินธุ์,1
กำแพงเพชร,1
ขอนแก่น,2
จันทบุรี,2
ฉะเชิงเทรา,4
ชลบุรี,11
ชัยนาท,0
ชัยภูมิ,1
ชุมพร,0
เชียงราย,0
เชียงใหม่,5
ตรัง,0
ตราด,0
ตาก,0
นครนายก,3
นครปฐม,1
นครพนม,0
นครราชสีมา,2
นครศรีธรรมราช,0
นครสวรรค์,1
นนทบุรี,0
นราธิวาส,0
น่าน,0
บึงกาฬ,1
บุรีรัมย์,1
ปทุมธานี,3
ประจวบคีรีขันธ์,0
ปราจีนบุรี,1
ปัตตานี,0
พระนครศรีอยุธยา,19
พังงา,0
พัทลุง,0
พิจิตร,1
พิษณุโลก,3
เพชรบุรี,0
เพชรบูรณ์,1
แพร่,0
ภูเก็ต,0
มหาสารคาม,0
มุกดาหาร,0
แม่ฮ่องสอน,0
ยโสธร,0
ยะลา,0
ร้อยเอ็ด,1
ระนอง,0
ระยอง,7
ราชบุรี,0
ลพบุรี,3
ลำปาง,0
ลำพูน,0
เลย,0
ศรีสะเกษ,0
สกลนคร,1
สงขลา,1
สตูล,0
สมุทรปราการ,3
สมุทรสงคราม,0
สมุทรสาคร,0
สระแก้ว,0
สระบุรี,8
สิงห์บุรี,1
สุโขทัย,1
สุพรรณบุรี,1
สุราษฎร์ธานี,0
สุรินทร์,0
หนองคาย,0
หนองบัวลำภู,0
อ่างทอง,2
อำนาจเจริญ,0
อุดรธานี,1
อุตรดิตถ์,0
อุทัยธานี,0
อุบลราชธานี,1
เบตง,0
