Starting optimized exp5_openthaigpt_aug training at Tue Oct  7 05:45:47 AM +07 2025
Job ID: 30523
GPU: 0
Python 3.10.12
PyTorch: 2.5.1+cu121, CUDA: True
Transformers: 4.57.0
=== Running EXP5 OPENTHAIGPT AUG with optimized settings ===
{'loss': 12.8813, 'grad_norm': 59.96459197998047, 'learning_rate': 3.2e-07, 'epoch': 0.03}
{'loss': 12.0482, 'grad_norm': 54.86290740966797, 'learning_rate': 7.2e-07, 'epoch': 0.06}
{'loss': 11.035, 'grad_norm': 45.9527473449707, 'learning_rate': 1.12e-06, 'epoch': 0.09}
{'loss': 9.7257, 'grad_norm': 31.282554626464844, 'learning_rate': 1.52e-06, 'epoch': 0.11}
{'loss': 8.5764, 'grad_norm': 20.968442916870117, 'learning_rate': 1.9200000000000003e-06, 'epoch': 0.14}
{'loss': 7.9382, 'grad_norm': 15.939119338989258, 'learning_rate': 2.3200000000000002e-06, 'epoch': 0.17}
{'loss': 7.3469, 'grad_norm': 12.717643737792969, 'learning_rate': 2.7200000000000002e-06, 'epoch': 0.2}
{'loss': 7.1078, 'grad_norm': 11.34041690826416, 'learning_rate': 3.12e-06, 'epoch': 0.23}
{'loss': 6.8646, 'grad_norm': 11.7142333984375, 'learning_rate': 3.52e-06, 'epoch': 0.26}
{'loss': 6.5805, 'grad_norm': 10.63837718963623, 'learning_rate': 3.920000000000001e-06, 'epoch': 0.29}
{'loss': 6.351, 'grad_norm': 10.205347061157227, 'learning_rate': 4.32e-06, 'epoch': 0.31}
{'loss': 6.2105, 'grad_norm': 12.595599174499512, 'learning_rate': 4.7200000000000005e-06, 'epoch': 0.34}
{'loss': 5.9329, 'grad_norm': 10.462732315063477, 'learning_rate': 5.12e-06, 'epoch': 0.37}
{'loss': 5.7621, 'grad_norm': 11.014254570007324, 'learning_rate': 5.5200000000000005e-06, 'epoch': 0.4}
{'loss': 5.6587, 'grad_norm': 12.76567268371582, 'learning_rate': 5.92e-06, 'epoch': 0.43}
{'loss': 5.5741, 'grad_norm': 10.956120491027832, 'learning_rate': 6.3200000000000005e-06, 'epoch': 0.46}
{'loss': 5.4258, 'grad_norm': 9.784083366394043, 'learning_rate': 6.720000000000001e-06, 'epoch': 0.49}
{'loss': 5.4254, 'grad_norm': 10.485651016235352, 'learning_rate': 7.1200000000000004e-06, 'epoch': 0.52}
{'loss': 5.3378, 'grad_norm': 8.56405258178711, 'learning_rate': 7.520000000000001e-06, 'epoch': 0.54}
{'loss': 5.2935, 'grad_norm': 9.911881446838379, 'learning_rate': 7.92e-06, 'epoch': 0.57}
{'loss': 5.2979, 'grad_norm': 9.760456085205078, 'learning_rate': 8.32e-06, 'epoch': 0.6}
{'loss': 5.1089, 'grad_norm': 11.04344654083252, 'learning_rate': 8.720000000000001e-06, 'epoch': 0.63}
{'loss': 5.2582, 'grad_norm': 9.282015800476074, 'learning_rate': 9.12e-06, 'epoch': 0.66}
{'loss': 5.1758, 'grad_norm': 10.488777160644531, 'learning_rate': 9.52e-06, 'epoch': 0.69}
{'loss': 5.024, 'grad_norm': 10.136273384094238, 'learning_rate': 9.920000000000002e-06, 'epoch': 0.72}
{'loss': 5.055, 'grad_norm': 10.948345184326172, 'learning_rate': 9.946577629382305e-06, 'epoch': 0.74}
{'loss': 4.9821, 'grad_norm': 11.10356330871582, 'learning_rate': 9.879799666110185e-06, 'epoch': 0.77}
{'loss': 4.9037, 'grad_norm': 10.437151908874512, 'learning_rate': 9.813021702838065e-06, 'epoch': 0.8}
{'loss': 4.8207, 'grad_norm': 12.291510581970215, 'learning_rate': 9.746243739565945e-06, 'epoch': 0.83}
{'loss': 4.8015, 'grad_norm': 12.395902633666992, 'learning_rate': 9.679465776293824e-06, 'epoch': 0.86}
{'loss': 4.7256, 'grad_norm': 10.958683013916016, 'learning_rate': 9.612687813021704e-06, 'epoch': 0.89}
{'loss': 4.6502, 'grad_norm': 10.71959400177002, 'learning_rate': 9.545909849749584e-06, 'epoch': 0.92}
{'loss': 4.5966, 'grad_norm': 10.847804069519043, 'learning_rate': 9.479131886477463e-06, 'epoch': 0.94}
{'loss': 4.4536, 'grad_norm': 12.009541511535645, 'learning_rate': 9.412353923205343e-06, 'epoch': 0.97}
{'loss': 4.4053, 'grad_norm': 12.211321830749512, 'learning_rate': 9.345575959933222e-06, 'epoch': 1.0}
{'loss': 4.3135, 'grad_norm': 9.7919282913208, 'learning_rate': 9.278797996661102e-06, 'epoch': 1.03}
{'loss': 4.2969, 'grad_norm': 10.647008895874023, 'learning_rate': 9.212020033388982e-06, 'epoch': 1.06}
