epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7288,1.25045,1.16996,1.20823,0.97834,0.94255,0.98459,0.62692,1.21337,0.94592,1.19826,0.000554093,0.000554093,0.000554093
2,163.35,1.15044,0.65827,1.11428,0.97802,0.98444,0.98494,0.64682,1.10233,0.52651,1.09728,0.00110934,0.00110934,0.00110934
3,244.703,1.13879,0.58419,1.10514,0.99283,0.99535,0.99241,0.66977,1.10112,0.48822,1.08464,0.00166288,0.00166288,0.00166288
4,317.909,1.1279,0.56156,1.10212,0.99099,0.99225,0.9938,0.67193,1.13154,0.46601,1.09613,0.00166128,0.00166128,0.00166128
5,390.912,1.10977,0.53331,1.08946,0.99435,0.99442,0.99435,0.69112,1.05587,0.43494,1.06361,0.00165684,0.00165684,0.00165684
6,471.563,1.09183,0.51505,1.08389,0.99487,0.99375,0.99437,0.67966,1.11472,0.43215,1.08845,0.00165114,0.00165114,0.00165114
7,553.841,1.09111,0.50685,1.08163,0.9956,0.9916,0.99339,0.68251,1.06928,0.43841,1.06982,0.0016442,0.0016442,0.0016442
8,636.951,1.08113,0.49522,1.07765,0.99428,0.99297,0.994,0.696,1.05043,0.41076,1.0517,0.00163602,0.00163602,0.00163602
9,718.533,1.08215,0.48745,1.07853,0.99507,0.99398,0.99419,0.69357,1.06306,0.41083,1.0639,0.00162661,0.00162661,0.00162661
10,802.07,1.07676,0.4825,1.07949,0.98234,0.99163,0.99223,0.69476,1.05184,0.4224,1.05509,0.001616,0.001616,0.001616
11,884.738,1.08137,0.4823,1.07555,0.99618,0.99597,0.99447,0.70068,1.0536,0.38866,1.04335,0.00160419,0.00160419,0.00160419
12,968.503,1.07213,0.48018,1.07487,0.9948,0.99555,0.99409,0.6869,1.06911,0.41041,1.06667,0.0015912,0.0015912,0.0015912
13,1054.03,1.06046,0.46972,1.06833,0.99585,0.99442,0.99424,0.6924,1.05689,0.38375,1.06548,0.00157706,0.00157706,0.00157706
14,1137.13,1.06911,0.46468,1.07384,0.99559,0.99729,0.99453,0.69842,1.085,0.39251,1.04541,0.00156179,0.00156179,0.00156179
15,1221.83,1.05776,0.46966,1.06846,0.99643,0.9969,0.99442,0.6965,1.07279,0.40569,1.0474,0.0015454,0.0015454,0.0015454
16,1304.59,1.05435,0.45792,1.06783,0.99689,0.99464,0.99436,0.70843,1.05665,0.39036,1.03573,0.00152793,0.00152793,0.00152793
17,1387.95,1.05783,0.45402,1.06771,0.99445,0.9938,0.99431,0.70267,1.053,0.38744,1.03528,0.00150941,0.00150941,0.00150941
18,1471.11,1.05223,0.45717,1.06373,0.99748,0.99658,0.99428,0.70587,1.05288,0.38557,1.03871,0.00148985,0.00148985,0.00148985
19,1553.93,1.05261,0.45339,1.06367,0.99618,0.99677,0.9944,0.70178,1.08005,0.38993,1.04508,0.0014693,0.0014693,0.0014693
20,1637.03,1.04675,0.45206,1.06492,0.9958,0.99602,0.9944,0.70322,1.03654,0.38139,1.05117,0.00144777,0.00144777,0.00144777
21,1720.55,1.04629,0.4487,1.05991,0.99643,0.99609,0.99421,0.70604,1.05204,0.37802,1.06394,0.00142531,0.00142531,0.00142531
22,1803.5,1.04532,0.44585,1.0608,0.9958,0.99473,0.99423,0.71875,1.03167,0.37374,1.03184,0.00140196,0.00140196,0.00140196
23,1889.66,1.04011,0.44286,1.05809,0.99716,0.99721,0.99447,0.71615,1.01885,0.36764,1.02445,0.00137774,0.00137774,0.00137774
24,1976.2,1.04239,0.44192,1.05843,0.99555,0.99758,0.99451,0.70961,1.01496,0.37556,1.0268,0.00135269,0.00135269,0.00135269
25,2059.36,1.03464,0.44077,1.05679,0.99671,0.99783,0.99437,0.71642,1.01035,0.36778,1.03466,0.00132685,0.00132685,0.00132685
26,2142.57,1.03869,0.43803,1.057,0.99488,0.99672,0.99434,0.71328,1.04328,0.36457,1.03289,0.00130027,0.00130027,0.00130027
27,2225.42,1.02975,0.43376,1.0544,0.99669,0.99783,0.99452,0.7158,1.01502,0.35482,1.02421,0.00127298,0.00127298,0.00127298
28,2307.76,1.04418,0.43404,1.0615,0.99718,0.99783,0.99424,0.7161,1.00874,0.36236,1.03151,0.00124503,0.00124503,0.00124503
29,2390.5,1.03455,0.43298,1.05583,0.99637,0.99721,0.99437,0.71042,1.04671,0.3577,1.02929,0.00121645,0.00121645,0.00121645
30,2473.57,1.02853,0.42934,1.05599,0.9963,0.99442,0.9945,0.70926,1.03716,0.36015,1.02913,0.0011873,0.0011873,0.0011873
31,2556.48,1.02773,0.42827,1.05134,0.99615,0.9969,0.99423,0.72763,1.00807,0.34804,1.02395,0.00115761,0.00115761,0.00115761
32,2638.94,1.02291,0.42479,1.05252,0.99736,0.99628,0.9944,0.71919,0.99655,0.35642,1.01908,0.00112744,0.00112744,0.00112744
33,2721.86,1.02203,0.42337,1.04909,0.99813,0.99721,0.99431,0.7284,1.00936,0.35092,1.01976,0.00109683,0.00109683,0.00109683
34,2807.2,1.02361,0.42151,1.05112,0.99788,0.99658,0.99451,0.72553,1.00137,0.34822,1.02527,0.00106582,0.00106582,0.00106582
35,2890.47,1.02572,0.42182,1.05221,0.99785,0.99783,0.99431,0.73149,1.00351,0.35654,1.02105,0.00103447,0.00103447,0.00103447
36,2973.18,1.01621,0.42189,1.05011,0.99791,0.99814,0.9944,0.72468,0.99021,0.34995,1.02158,0.00100282,0.00100282,0.00100282
37,3055.97,1.01564,0.41815,1.04978,0.99677,0.99769,0.99454,0.72424,1.0208,0.34103,1.02457,0.000970919,0.000970919,0.000970919
38,3138.76,1.01748,0.41463,1.05114,0.99675,0.99752,0.9944,0.72782,0.99177,0.34285,1.01913,0.000938823,0.000938823,0.000938823
39,3221.68,1.01334,0.41698,1.04845,0.99766,0.99748,0.99444,0.72796,0.99921,0.33805,1.01781,0.000906577,0.000906577,0.000906577
40,3304.93,1.01412,0.41445,1.04833,0.99706,0.99781,0.99427,0.72241,0.99919,0.3423,1.02099,0.000874231,0.000874231,0.000874231
41,3387.34,1.01119,0.41055,1.04624,0.99658,0.99845,0.99427,0.72811,0.99062,0.33998,1.01646,0.000841835,0.000841835,0.000841835
42,3471.04,1.00648,0.40904,1.04871,0.9972,0.99783,0.99434,0.72415,0.99935,0.34429,1.01937,0.000809439,0.000809439,0.000809439
43,3554.67,1.01187,0.40887,1.04971,0.99659,0.99731,0.99454,0.71915,1.00009,0.34604,1.01926,0.000777093,0.000777093,0.000777093
44,3638.33,1.00419,0.40638,1.04543,0.99685,0.99814,0.99464,0.72842,1.00701,0.34378,1.01845,0.000744847,0.000744847,0.000744847
45,3721.23,1.00359,0.40127,1.04535,0.99765,0.99783,0.99422,0.72998,0.99638,0.33992,1.0283,0.000712751,0.000712751,0.000712751
46,3804.71,1.0013,0.40661,1.04427,0.99625,0.99721,0.99448,0.72325,0.99992,0.34128,1.01533,0.000680853,0.000680853,0.000680853
47,3888.65,0.99644,0.40116,1.04004,0.99685,0.9981,0.99436,0.73583,0.98124,0.33556,1.0123,0.000649204,0.000649204,0.000649204
48,3972.52,1.00162,0.4001,1.04354,0.99722,0.99842,0.9943,0.73422,0.98669,0.33291,1.01649,0.000617852,0.000617852,0.000617852
49,4055.98,0.99167,0.39394,1.03724,0.99607,0.99814,0.99431,0.72681,1.00924,0.3376,1.01486,0.000586845,0.000586845,0.000586845
50,4138.89,0.99636,0.39559,1.03983,0.99731,0.99744,0.99436,0.73649,0.98775,0.33391,1.0111,0.000556231,0.000556231,0.000556231
51,4222.46,0.99087,0.39497,1.03763,0.9977,0.99778,0.99443,0.73153,0.97846,0.33398,1.01011,0.000526058,0.000526058,0.000526058
52,4306.06,0.99076,0.39102,1.03811,0.9971,0.99731,0.99429,0.73065,0.99127,0.33404,1.00961,0.000496372,0.000496372,0.000496372
53,4389.85,0.98805,0.39539,1.0359,0.99721,0.99783,0.99427,0.72782,0.98098,0.33057,1.01246,0.000467218,0.000467218,0.000467218
54,4473.71,0.98595,0.38779,1.03926,0.99676,0.99758,0.99437,0.73387,0.98907,0.33362,1.01172,0.000438642,0.000438642,0.000438642
55,4557.03,0.98512,0.38631,1.03803,0.9961,0.99783,0.99444,0.73705,0.987,0.3317,1.01159,0.000410687,0.000410687,0.000410687
56,4640.78,0.98188,0.38971,1.03383,0.9973,0.99814,0.99452,0.73631,0.98393,0.33398,1.01142,0.000383398,0.000383398,0.000383398
57,4724.27,0.9803,0.3853,1.03286,0.99698,0.99814,0.99447,0.73633,0.9754,0.33064,1.0099,0.000356815,0.000356815,0.000356815
58,4807.84,0.97328,0.38342,1.03049,0.99712,0.99724,0.9945,0.7382,0.97434,0.33051,1.01007,0.00033098,0.00033098,0.00033098
59,4891.4,0.97781,0.38671,1.03365,0.99638,0.99763,0.99458,0.73117,0.98501,0.33264,1.01368,0.000305933,0.000305933,0.000305933
