epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.246,1.06204,1.77083,0.94771,0.91436,0.9867,0.95048,0.69808,0.94148,0.49941,0.91997,0.000664804,0.000664804,0.000664804
2,554.29,0.95351,0.59122,0.909,0.8748,0.95357,0.90443,0.63847,1.07396,0.69053,0.949,0.00133017,0.00133017,0.00133017
3,815.778,0.94345,0.57161,0.90348,0.9104,0.98776,0.92084,0.66854,0.88603,0.52918,0.907,0.00199034,0.00199034,0.00199034
4,1071.77,0.90134,0.54073,0.89365,0.91123,0.98631,0.91969,0.71669,0.8271,0.48745,0.88466,0.00198246,0.00198246,0.00198246
5,1335.4,0.89286,0.52617,0.89199,0.90455,0.98103,0.91884,0.69123,0.85301,0.51035,0.89703,0.0019689,0.0019689,0.0019689
6,1591.12,0.87909,0.51438,0.88964,0.91222,0.9922,0.94403,0.7434,0.80879,0.45579,0.87934,0.00195155,0.00195155,0.00195155
7,1845,0.85485,0.49084,0.87961,0.91001,0.99018,0.93828,0.74609,0.80571,0.44949,0.87751,0.00193048,0.00193048,0.00193048
8,2099.86,0.84097,0.48634,0.87901,0.91258,0.99143,0.93936,0.72924,0.8207,0.46087,0.88168,0.00190578,0.00190578,0.00190578
9,2352.61,0.83387,0.4751,0.87707,0.91435,0.98776,0.95535,0.76225,0.79835,0.42804,0.87559,0.00187754,0.00187754,0.00187754
10,2608.46,0.82661,0.46974,0.87678,0.90932,0.99449,0.95011,0.75079,0.78891,0.42578,0.87589,0.00184588,0.00184588,0.00184588
11,2858.2,0.81579,0.46049,0.87631,0.916,0.99433,0.95043,0.75037,0.80325,0.43615,0.88151,0.00181093,0.00181093,0.00181093
12,3114.76,0.8123,0.4565,0.87257,0.93355,0.98874,0.97128,0.78231,0.7639,0.39967,0.87256,0.00177281,0.00177281,0.00177281
13,3371.46,0.81776,0.44295,0.87071,0.93663,0.98598,0.96386,0.77479,0.76497,0.40664,0.87108,0.00173168,0.00173168,0.00173168
14,3627.84,0.80341,0.43284,0.87254,0.94238,0.98103,0.97771,0.76341,0.80477,0.40768,0.87598,0.0016877,0.0016877,0.0016877
15,3880.42,0.7903,0.41917,0.87289,0.95998,0.95655,0.98439,0.78684,0.77201,0.38879,0.87007,0.00164105,0.00164105,0.00164105
16,4135.95,0.78392,0.40779,0.86561,0.97469,0.98348,0.98764,0.79759,0.7629,0.35292,0.87035,0.00159191,0.00159191,0.00159191
17,4387.91,0.78221,0.4062,0.86618,0.98414,0.98736,0.99296,0.76618,0.83607,0.34816,0.88264,0.00154047,0.00154047,0.00154047
18,4641.58,0.77899,0.39286,0.86608,0.97756,0.98776,0.99271,0.78084,0.78659,0.34177,0.87288,0.00148694,0.00148694,0.00148694
19,4896.52,0.78247,0.38919,0.86583,0.96755,0.98522,0.99008,0.80895,0.74573,0.3452,0.8635,0.00143152,0.00143152,0.00143152
20,5145.52,0.76709,0.3833,0.86545,0.95091,0.97211,0.98513,0.80942,0.74048,0.37274,0.86243,0.00137444,0.00137444,0.00137444
21,5400.1,0.76264,0.37963,0.86581,0.97956,0.9896,0.99076,0.80973,0.75033,0.33156,0.86573,0.00131593,0.00131593,0.00131593
22,5656.87,0.76776,0.37625,0.86461,0.98244,0.99312,0.99236,0.81468,0.73965,0.31653,0.86384,0.0012562,0.0012562,0.0012562
23,5911.13,0.7455,0.36873,0.85883,0.98042,0.97613,0.98978,0.80735,0.71707,0.33881,0.86043,0.00119551,0.00119551,0.00119551
24,6162.43,0.74583,0.36244,0.86145,0.98364,0.99143,0.9915,0.81506,0.73788,0.30988,0.86015,0.00113408,0.00113408,0.00113408
25,6418.85,0.7324,0.35615,0.85514,0.98506,0.9951,0.99301,0.81532,0.7169,0.30135,0.85784,0.00107216,0.00107216,0.00107216
26,6669.22,0.72826,0.3497,0.85992,0.98108,0.98397,0.99205,0.82107,0.71609,0.32636,0.85998,0.00101,0.00101,0.00101
27,6924.01,0.73729,0.34872,0.85897,0.98783,0.99367,0.99308,0.82565,0.71216,0.30696,0.85711,0.000947837,0.000947837,0.000947837
28,7178.39,0.73267,0.34327,0.85903,0.98116,0.98779,0.98989,0.80982,0.73826,0.31419,0.86105,0.00088592,0.00088592,0.00088592
